year,count
1072,1
1079,1
1910,1
1922,1
1923,1
1929,1
1935,2
1938,1
1946,1
1949,1
1951,1
1953,3
1955,4
1956,1
1957,4
1958,5
1959,6
1960,4
1961,5
1962,18
1963,16
1964,28
1965,73
1966,137
1967,202
1968,275
1969,476
1970,614
1971,1070
1972,1242
1973,1408
1974,1627
1975,1909
1976,2027
1977,2230
1978,3837
1979,8513
1980,31394
1981,70952
1982,63134
1983,62085
1984,72810
1985,77433
1986,77217
1987,89812
1988,84622
1989,102916
1990,99445
1991,107062
1992,107798
1993,110195
1994,114007
1995,114287
1996,122161
1997,124490
1998,163530
1999,169403
2000,176381
2001,184327
2002,184649
2003,187249
2004,181496
2005,157954
2006,196854
2007,183393
2008,185827
2009,192808
2010,245156
2011,248718
2012,277684
2013,303818
2014,326798
2015,326556
2016,334019
2017,351782
2018,193633
,4696154
